company_Name,company_DNC,company_PhoneNumber,company_Email,company_Address,company_City,company_State,company_Zipcode,company_Description
WellCare,0,1-800-960-2530,main@wellcare.com,7700 Forsyth Blvd,St. Louis,Missouri,63105,American health insurance company that provides managed care services primarily through Medicaid
Saddle Creek,0,(863)576-1435,contact@saddlecreek.com,8054 State Rd 33 N,Lakeland,Florida,33805,Seamlessly synchronize inventory and distribution across every purchasing channel.
Duracast,0,(123)456-7890,us@duracast.com,1234 Example Lane,San Diego,California,90210,
Raymond James,0,(222)111-8822,raymond@james.com,4536 Raymond Road,Miami,Florida,55641,Company of Raymond James
MacDil AFB,0,(999)272-0802,macdil@adb.com,2929 Macdil Ave,Columbus,Ohio,11111,
Universal Studios,0,(333)111-4444,studios@universal.com,6000 Universal Blvd,Orlando,Florida,32819,"American theme park and entertainment resort complex based in Orlando, Florida"
Catamount Machine Works,0,789-190-0239,works@catamount.com,1237 Machine Lane,Las Vegas,Nevada,78954,
L3 (Harris),0,273-929-1234,L3@harris.com,3497 Sample St,Jacksonville,Florida,88505,
Publix,0,863-929-1029,contact@publix.com,4520 Socrum Rd,Lakeland,Florida,33805,
JL Marine,0,349-213-2139,jl@marine.gov,1230 Marine Lane,Fort Pierce,Florida,33905,
